,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
42022,SDLP,small_airport,Lençóis Paulista Airport,2039.0,SA,BR,BR-SP,Lençóis Paulista,SDLP,QGC,SDLP,"-22.578399658203125, -48.774600982666016"
42082,SDNY,small_airport,Aeroclube Airport,164.0,SA,BR,BR-RJ,Nova Iguaçu,SDNY,QNV,SDNY,"-22.74530029296875, -43.46030044555664"
42103,SDOU,small_airport,Ourinhos Airport,1532.0,SA,BR,BR-SP,Ourinhos,SDOU,OUS,SDOU,"-22.96649932861328, -49.913299560546875"
42105,SDOW,small_airport,Ourilândia do Norte Airport,901.0,SA,BR,BR-PA,Ourilândia do Norte,SDOW,OIA,SDOW,"-6.763100147250001, -51.0499000549"
42131,SDPW,small_airport,Piracicaba Airport,1887.0,SA,BR,BR-SP,Piracicaba,SDPW,QHB,SDPW,"-22.71150016784668, -47.61819839477539"
42178,SDRS,small_airport,Resende Airport,1320.0,SA,BR,BR-RJ,Resende,SDRS,REZ,SDRS,"-22.4785003662, -44.4803009033"
42187,SDSC,small_airport,Mário Pereira Lopes–São Carlos Airport,2649.0,SA,BR,BR-SP,São Carlos,SDSC,QSC,SDSC,"-21.875401, -47.903703"
42232,SDUB,small_airport,Ubatuba Airport,13.0,SA,BR,BR-SP,Ubatuba,SDUB,UBT,SDUB,"-23.441099166870117, -45.075599670410156"
42244,SDUN,small_airport,Itaperuna Airport,410.0,SA,BR,BR-RJ,Itaperuna,SDUN,ITP,SDUN,"-21.219299316399997, -41.8759002686"
42263,SDVG,small_airport,Votuporanga Airport,1667.0,SA,BR,BR-SP,Votuporanga,SDVG,VOT,SDVG,"-20.463199615478516, -50.00450134277344"
42497,SEQM,large_airport,Mariscal Sucre International Airport,7841.0,SA,EC,EC-P,Quito,SEQM,UIO,UIO,"-0.129166666667, -78.3575"
42519,SFU,small_airport,Safia Airport,430.0,OC,PG,PG-NPP,Safia,AYSF,SFU,SFA,"-9.59305555556, 148.636111111"
42970,SIMK,small_airport,Tenente Lund Pressoto Airport,3292.0,SA,BR,BR-SP,Franca,SIMK,FRC,SIMK,"-20.592199, -47.3829"
43278,SIZ,small_airport,Sissano Airport,27.0,OC,PG,PG-SAN,Sissano,AYZN,SIZ,SNO,"-2.99944444444, 142.0445"
44023,SK-008,small_airport,Jurado Airport,2184.0,SA,CO,CO-ANT,Jurado,SKJU,JUO,JUO,"6.516667, -76.6"
44142,SK-131,small_airport,Tauramena Airport,1462.0,SA,CO,CO-CAS,Tauramena,SKTA,TAU,TAU,"5.01281, -72.7424"
44315,SK-307,small_airport,El Refugio/La Macarena Airport,793.0,SA,CO,CO-MET,La Macarena,SKNA,LMC,LMC,"2.1736, -73.7862"
44367,SK-360,small_airport,El Charco Airport,25.0,SA,CO,CO-NAR,El Charco,SKEH,ECR,ECR,"2.44944444444, -78.0941666667"
44525,SK-521,small_airport,La Primavera Airport,390.0,SA,CO,CO-VID,La Primavera,SKIM,LPE,PIM,"5.4776, -70.4212"
44534,SKAC,small_airport,Araracuara Airport,1250.0,SA,CO,CO-CAQ,Araracuara,SKAC,ACR,ACR,"-0.5833, -72.4083"
44535,SKAD,small_airport,Alcides Fernández Airport,50.0,SA,CO,CO-CHO,Acandí,SKAD,ACD,ACD,"8.51667, -77.3"
44537,SKAM,small_airport,Amalfi Airport,5507.0,SA,CO,CO-ANT,Amalfi,SKAM,AFI,AFI,"6.91667, -75.0667"
44539,SKAP,medium_airport,Gomez Nino Apiay Air Base,1207.0,SA,CO,CO-MET,Apiay,SKAP,API,APY,"4.07607, -73.5627"
44540,SKAR,medium_airport,El Eden Airport,3990.0,SA,CO,CO-QUI,Armenia,SKAR,AXM,AXM,"4.45278, -75.7664"
44541,SKAS,medium_airport,Tres De Mayo Airport,815.0,SA,CO,CO-PUT,Puerto Asís,SKAS,PUU,PUU,"0.505228, -76.5008"
44542,SKBC,medium_airport,Las Flores Airport,111.0,SA,CO,CO-MAG,El Banco,SKBC,ELB,ELB,"9.04554, -73.9749"
44544,SKBG,medium_airport,Palonegro Airport,3897.0,SA,CO,CO-SAN,Bucaramanga,SKBG,BGA,BGA,"7.1265, -73.1848"
44546,SKBO,large_airport,El Dorado International Airport,8361.0,SA,CO,CO-CUN,Bogota,SKBO,BOG,BOG,"4.70159, -74.1469"
44547,SKBQ,medium_airport,Ernesto Cortissoz International Airport,98.0,SA,CO,CO-ATL,Barranquilla,SKBQ,BAQ,BAQ,"10.8896, -74.7808"
44549,SKBS,medium_airport,José Celestino Mutis Airport,80.0,SA,CO,CO-CHO,Bahía Solano,SKBS,BSC,BSC,"6.20292, -77.3947"
44550,SKBU,medium_airport,Gerardo Tobar López Airport,48.0,SA,CO,CO-VAC,Buenaventura,SKBU,BUN,BUN,"3.81963, -76.9898"
44551,SKCA,small_airport,Capurganá Airport,49.0,SA,CO,CO-CHO,Capurganá,SKCA,CPB,CPB,"8.63333, -77.35"
44553,SKCC,medium_airport,Camilo Daza International Airport,1096.0,SA,CO,CO-NSA,Cúcuta,SKCC,CUC,CUC,"7.92757, -72.5115"
44554,SKCD,small_airport,Mandinga Airport,213.0,SA,CO,CO-CHO,Condoto,SKCD,COG,COG,"5.08333, -76.7"
44555,SKCG,medium_airport,Rafael Nuñez International Airport,4.0,SA,CO,CO-BOL,Cartagena,SKCG,CTG,CTG,"10.4424, -75.513"
44557,SKCI,small_airport,Carimagua Airport,700.0,SA,CO,CO-MET,Puerto López,SKCI,CCO,CCO,"4.56417, -71.3364"
44558,SKCL,medium_airport,Alfonso Bonilla Aragon International Airport,3162.0,SA,CO,CO-VAC,Cali,SKCL,CLO,CLO,"3.54322, -76.3816"
44559,SKCM,small_airport,Cimitarra Airport,740.0,SA,CO,CO-SAN,Cimitarra,SKCM,CIM,CIM,"6.367, -73.967"
44560,SKCN,small_airport,Cravo Norte Airport,341.0,SA,CO,CO-ARA,Cravo Norte,SKCN,RAV,RAV,"6.31684, -70.2107"
44561,SKCO,medium_airport,La Florida Airport,8.0,SA,CO,CO-NAR,Tumaco,SKCO,TCO,TCO,"1.81442, -78.7492"
44563,SKCR,small_airport,Carurú Airport,820.0,SA,CO,CO-VAU,Carurú,SKCR,CUO,CRU,"1.0136, -71.2961"
44564,SKCU,medium_airport,Juan H White Airport,174.0,SA,CO,CO-ANT,Caucasia,SKCU,CAQ,CAQ,"7.96847, -75.1985"
44565,SKCV,medium_airport,Coveñas Airport,31.0,SA,CO,CO-SUC,Coveñas,SKCV,CVE,CVE,"9.40092, -75.6913"
44566,SKCZ,medium_airport,Las Brujas Airport,528.0,SA,CO,CO-SUC,Corozal,SKCZ,CZU,CZU,"9.33274, -75.2856"
44567,SKEB,medium_airport,El Bagre Airport,180.0,SA,CO,CO-ANT,El Bagre,SKEB,EBG,EBG,"7.59647, -74.8089"
44568,SKEJ,medium_airport,Yariguíes Airport,412.0,SA,CO,CO-SAN,Barrancabermeja,SKEJ,EJA,EJA,"7.02433, -73.8068"
44569,SKFL,medium_airport,Gustavo Artunduaga Paredes Airport,803.0,SA,CO,CO-CAQ,Florencia,SKFL,FLA,FLA,"1.58919, -75.5644"
44571,SKFU,small_airport,Fundación Airport,150.0,SA,CO,CO-MAG,Fundación,SKFU,FDA,FDA,"10.5333, -74.2"
44574,SKGI,medium_airport,Santiago Vila Airport,900.0,SA,CO,CO-CUN,Girardot,SKGI,GIR,GIR,"4.27624, -74.7967"
44575,SKGO,medium_airport,Santa Ana Airport,2979.0,SA,CO,CO-VAC,Cartago,SKGO,CRC,CRC,"4.75818, -75.9557"
44576,SKGP,medium_airport,Juan Casiano Airport,164.0,SA,CO,CO-CAU,Guapi,SKGP,GPI,GPI,"2.57013, -77.8986"
44579,SKHA,small_airport,Chaparral Airport,2730.0,SA,CO,CO-TOL,Chaparral,SKHA,CPL,CPL,"3.717, -75.467"
44580,SKHC,small_airport,Hato Corozal Airport,820.0,SA,CO,CO-CAS,Hato Corozal,SKHC,HTZ,HTZ,"6.15, -71.75"
44581,SKIB,medium_airport,Perales Airport,2999.0,SA,CO,CO-TOL,Ibagué,SKIB,IBE,IBE,"4.42161, -75.1333"
44582,SKIG,small_airport,Chigorodó Airport,110.0,SA,CO,CO-ANT,Chigorodó,SKIG,IGO,IGO,"7.68038, -76.6865"
44584,SKIP,medium_airport,San Luis Airport,9765.0,SA,CO,CO-NAR,Ipiales,SKIP,IPI,IPI,"0.861925, -77.6718"
